date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-01-15,01_gap,long,17624.2,-52.0,stop,20,112.08571428571304
2024-01-16,01_gap,short,17442.87,56.52000000000044,time_1330,264,-103.87285714285827
2024-01-18,01_gap,long,17242.06,-52.0,stop,45,80.16857142857043
2024-01-19,01_gap,long,17570.48,-52.0,stop,5,353.24999999999636
2024-01-22,01_gap,long,17823.38,-52.0,stop,129,138.2142857142826
2024-01-25,01_gap,long,17985.74,1.75,time_1330,264,114.3571428571413
2024-01-31,01_gap,short,17959.36,70.7400000000016,time_1330,264,-70.8471428571429
2024-02-02,01_gap,long,18055.1,-52.0,stop,20,78.36571428571187
2024-02-15,01_gap,long,18705.08,-52.0,stop,4,615.9200000000019
2024-02-21,01_gap,short,18692.71,17.349999999998545,time_1330,264,-66.05857142857349
2024-02-22,01_gap,long,18868.83,-52.0,stop,41,195.8857142857123
2024-02-23,01_gap,long,18991.38,-52.0,stop,32,137.0414285714287
2024-03-01,01_gap,long,19029.54,-52.0,stop,16,61.47999999999956
2024-03-04,01_gap,long,19199.84,85.61999999999898,time_1330,264,266.49285714285725
2024-03-05,01_gap,long,19413.14,-52.0,stop,16,100.70999999999913
2024-03-06,01_gap,short,19252.15,-52.0,stop,3,-128.19714285714144
2024-03-07,01_gap,long,19735.96,-52.0,stop,37,229.28999999999724
2024-03-08,01_gap,long,20057.0,-52.0,stop,2,368.1342857142881
2024-03-11,01_gap,short,19668.78,-52.0,stop,2,-107.46142857142695
2024-03-13,01_gap,long,20095.37,-52.0,stop,11,167.45285714285637
2024-03-15,01_gap,short,19820.95,-52.0,stop,7,-124.86714285713606
2024-03-18,01_gap,long,19773.84,97.59000000000015,time_1330,264,87.42285714286118
2024-03-19,01_gap,short,19776.28,-52.0,stop,4,-110.6385714285716
2024-03-21,01_gap,long,20072.81,121.91999999999825,time_1330,264,284.3385714285687
2024-03-26,01_gap,long,20303.52,-52.0,stop,46,102.83142857142593
2024-04-02,01_gap,long,20398.36,54.31999999999971,time_1330,264,173.0871428571445
2024-04-03,01_gap,short,20312.82,-52.0,stop,3,-139.77142857142826
