strategy,trades,win_rate,total_pnl_pts,avg_pnl_pts,total_pnl_twd,max_dd_pts,profit_factor,tp_rate,stop_rate,time_rate
01_gap_5min,176,0.26704545454545453,-1460.4499999999898,-8.298011363636306,-292089.99999999796,-2117.8799999999974,0.7728760736463478,0.13636363636363635,0.6931818181818182,0.17045454545454544
01_gap_30min,176,0.3806818181818182,2538.6300000000047,14.424034090909117,507726.00000000093,-595.1999999999971,1.4625968971059344,0.23863636363636365,0.5852272727272727,0.17613636363636365
01_gap_1min,176,0.26136363636363635,-1526.349999999995,-8.672443181818153,-305269.99999999895,-1962.6799999999967,0.7728774265740932,0.1590909090909091,0.7329545454545454,0.10795454545454546
02_cross_5min,164,0.3231707317073171,-526.5399999999936,-3.2106097560975217,-105307.99999999872,-1143.2499999999964,0.9011699166436749,0.12804878048780488,0.5975609756097561,0.27439024390243905
03_resonance_30p5,271,0.3247232472324723,-1801.7500000000146,-6.6485239852399065,-360350.0000000029,-2320.6500000000124,0.7611703481405271,0.055350553505535055,0.4833948339483395,0.4612546125461255
