strategy,trades,win_rate,total_pnl_pts,total_pnl_twd,avg_pnl_pts,max_dd_pts,profit_factor,long_trades,short_trades
01_瞬間決策_延續,675,0.24444444444444444,-1628.4600000000046,-325692.00000000093,-2.4125333333333403,-2311.760000000002,0.9226421547669942,368,307
01_瞬間決策_淡化,675,0.2785185185185185,666.5400000000063,133308.00000000128,0.987466666666676,-1685.2800000000007,1.0331991831448926,307,368
02_多空穿越,159,0.3836477987421384,1378.449999999999,275689.99999999977,8.669496855345905,-502.5000000000018,1.3437531172069823,77,82
03_動態共振,37,0.13513513513513514,3752.0,750400.0,101.4054054054054,-1987.0,2.0766140602582497,22,15
ALL_合計(01延續+02+03),871,0.26521239954075776,3501.9899999999943,700397.9999999988,4.020654420206652,-2918.2599999999984,1.122678834162404,467,404
