date,formula,direction,entry,pnl_pts,reason,held_bars
2024-01-02,03_resonance,short,17898.94,163.79999999999563,time_1330,52
2024-01-04,03_resonance,short,17532.99,-1.6599999999962165,time_1330,48
2024-01-05,03_resonance,long,17551.41,-91.44000000000233,time_1330,33
2024-01-08,03_resonance,long,17601.07,-38.73999999999796,time_1330,12
2024-01-09,03_resonance,long,17570.35,-55.799999999995634,time_1330,29
2024-01-10,03_resonance,short,17479.6,-7.280000000006112,time_1330,3
2024-01-11,03_resonance,long,17501.65,119.07999999999447,time_1330,41
2024-01-12,03_resonance,long,17532.73,-16.239999999997963,time_1330,43
2024-01-15,03_resonance,long,17589.16,-52.81999999999971,time_1330,36
2024-01-16,03_resonance,short,17399.94,27.18000000000029,time_1330,12
2024-01-17,03_resonance,short,17191.36,24.44000000000233,time_1330,17
2024-01-18,03_resonance,short,17196.16,-99.59999999999854,time_1330,44
2024-01-22,03_resonance,long,17814.45,2.0,time_1330,1
2024-01-23,03_resonance,short,17829.11,-97.94000000000233,time_1330,44
2024-01-24,03_resonance,short,17916.24,102.66000000000349,time_1330,40
2024-01-25,03_resonance,short,17970.71,-41.56000000000495,time_1330,33
2024-01-26,03_resonance,short,17998.82,28.139999999999418,time_1330,44
2024-01-29,03_resonance,long,18100.92,1.4800000000032014,time_1330,5
2024-01-30,03_resonance,long,18124.75,-95.72000000000116,time_1330,48
2024-02-01,03_resonance,short,17855.99,-148.0399999999936,time_1330,47
2024-02-02,03_resonance,long,18059.93,-4.0,time_eod,1
2024-02-05,03_resonance,long,18048.68,115.26000000000204,time_1330,45
2024-02-16,03_resonance,long,18685.48,-141.91999999999825,time_1330,52
2024-02-19,03_resonance,short,18596.79,-119.90000000000146,time_1330,35
2024-02-20,03_resonance,short,18708.28,-8.860000000000582,time_1330,40
2024-02-21,03_resonance,short,18702.7,54.68000000000029,time_1330,20
2024-02-22,03_resonance,long,18820.92,67.62000000000262,time_1330,21
2024-02-23,03_resonance,long,18986.98,-157.73999999999796,time_1330,24
2024-02-26,03_resonance,short,18904.94,-138.7800000000061,time_1330,36
2024-02-27,03_resonance,short,18982.53,229.95999999999913,time_1330,44
2024-02-29,03_resonance,short,18837.89,-244.0,stop,38
2024-03-01,03_resonance,long,18952.13,-28.900000000001455,time_1330,7
2024-03-05,03_resonance,long,19441.34,-0.37999999999738066,time_1330,21
2024-03-06,03_resonance,short,19481.38,-64.40000000000146,time_1330,9
2024-03-07,03_resonance,long,19752.79,-65.94000000000233,time_1330,10
2024-03-11,03_resonance,short,19731.24,55.28000000000611,time_1330,42
2024-03-12,03_resonance,long,19916.01,-18.599999999998545,time_1330,1
2024-03-13,03_resonance,long,19968.04,-96.58000000000175,time_1330,24
2024-03-14,03_resonance,short,19841.85,-244.0,stop,14
2024-03-15,03_resonance,short,19861.5,179.36000000000058,time_1330,52
2024-03-18,03_resonance,short,19750.08,-244.0,stop,43
2024-03-19,03_resonance,long,19851.82,89.04000000000087,time_1330,40
2024-03-20,03_resonance,long,19976.83,-244.0,stop,10
2024-03-21,03_resonance,long,20122.72,144.0199999999968,time_1330,36
2024-03-25,03_resonance,short,20202.38,-40.979999999995925,time_1330,46
2024-03-26,03_resonance,short,20221.22,102.68000000000029,time_1330,44
2024-03-27,03_resonance,short,20126.71,-244.0,stop,45
2024-03-28,03_resonance,short,20170.36,8.239999999997963,time_1330,22
2024-03-29,03_resonance,long,20248.24,94.57999999999447,time_1330,27
2024-04-01,03_resonance,short,20218.1,-2.960000000006403,time_1330,1
2024-04-02,03_resonance,long,20457.01,-8.659999999996217,time_1330,5
2024-04-03,03_resonance,short,20379.03,-18.81999999999971,time_1330,13
2024-04-08,03_resonance,long,20483.29,-130.27999999999884,time_1330,35
2024-04-10,03_resonance,long,20862.34,-133.26000000000204,time_1330,41
2024-04-11,03_resonance,short,20684.58,-94.25999999999476,time_1330,30
2024-04-12,03_resonance,short,20737.1,-9.680000000000291,time_1330,44
2024-04-15,03_resonance,short,20540.08,87.74000000000524,time_1330,38
2024-04-18,03_resonance,long,20177.09,362.9400000000023,time_1330,42
2024-04-19,03_resonance,short,19426.62,-244.0,stop,5
2024-04-22,03_resonance,short,19566.75,267.1200000000026,time_1330,45
2024-04-23,03_resonance,long,19605.75,44.33999999999651,time_1330,27
2024-04-24,03_resonance,long,20162.11,-24.220000000001164,time_1330,3
2024-04-29,03_resonance,long,20495.52,-4.0,time_eod,1
2024-04-30,03_resonance,long,20543.36,-68.68000000000029,time_1330,39
2024-05-02,03_resonance,short,20237.24,-67.91999999999825,time_1330,4
2024-05-03,03_resonance,short,20462.11,317.09999999999854,time_1330,40
2024-05-06,03_resonance,long,20560.74,-23.200000000004366,time_1330,3
2024-05-08,03_resonance,short,20602.84,-100.5199999999968,time_1330,43
2024-05-09,03_resonance,short,20715.07,223.36000000000058,time_1330,40
2024-05-10,03_resonance,short,20620.66,-244.0,stop,40
2024-05-13,03_resonance,long,20846.39,-17.31999999999971,time_1330,1
2024-05-14,03_resonance,long,20870.63,228.77999999999884,time_1330,43
2024-05-16,03_resonance,short,21300.41,23.159999999996217,time_1330,11
2024-05-17,03_resonance,short,21289.17,-18.220000000001164,time_1330,35
2024-05-20,03_resonance,short,21251.69,-9.80000000000291,time_1330,47
2024-05-21,03_resonance,short,21210.43,0.9800000000032014,time_1330,47
2024-05-22,03_resonance,long,21517.47,56.299999999995634,time_1330,25
2024-05-23,03_resonance,long,21645.92,-244.0,stop,2
2024-05-24,03_resonance,short,21572.91,-5.80000000000291,time_1330,8
2024-05-27,03_resonance,long,21799.97,2.860000000000582,time_1330,5
2024-05-28,03_resonance,long,21888.02,82.58000000000175,time_1330,25
2024-05-29,03_resonance,short,21751.85,78.93999999999505,time_1330,29
2024-05-30,03_resonance,short,21432.12,75.0199999999968,time_1330,13
2024-05-31,03_resonance,short,21466.91,350.5,time_1330,36
2024-06-04,03_resonance,short,21331.05,-56.84000000000378,time_1330,6
2024-06-05,03_resonance,short,21305.08,-244.0,stop,11
2024-06-11,03_resonance,short,21941.75,198.91999999999825,time_1330,36
2024-06-12,03_resonance,short,21907.44,-244.0,stop,18
2024-06-13,03_resonance,long,22323.14,-49.45999999999913,time_1330,9
2024-06-14,03_resonance,short,22292.79,-244.0,stop,16
2024-06-17,03_resonance,short,22453.76,-68.04000000000087,time_1330,51
2024-06-19,03_resonance,long,23134.98,133.91999999999825,time_1330,36
2024-06-21,03_resonance,short,23280.08,-20.959999999999127,time_1330,24
2024-06-24,03_resonance,short,22841.65,-2.2999999999956344,time_1330,14
2024-06-25,03_resonance,short,22693.43,-244.0,stop,18
2024-06-26,03_resonance,long,22949.48,80.63999999999942,time_1330,11
2024-06-27,03_resonance,long,22853.17,4.440000000002328,time_1330,42
2024-07-01,03_resonance,long,23078.98,-114.37999999999738,time_1330,50
2024-07-02,03_resonance,short,22903.98,-7.3400000000037835,time_1330,33
2024-07-03,03_resonance,long,23172.43,-4.0,time_eod,1
2024-07-04,03_resonance,long,23521.63,-22.959999999999127,time_1330,8
2024-07-05,03_resonance,long,23596.01,-170.47999999999593,time_1330,43
2024-07-09,03_resonance,long,24013.52,-244.0,stop,7
2024-07-10,03_resonance,short,23911.16,-244.0,stop,19
2024-07-11,03_resonance,long,24410.36,-69.38000000000466,time_1330,17
2024-07-12,03_resonance,short,23832.74,11.80000000000291,time_1330,10
2024-07-15,03_resonance,short,23768.37,-244.0,stop,1
2024-07-16,03_resonance,long,23972.97,-142.08000000000175,time_1330,42
2024-07-17,03_resonance,long,23917.25,-244.0,stop,29
2024-07-19,03_resonance,short,22950.45,142.27999999999884,time_1330,8
2024-07-23,03_resonance,long,22792.09,155.5,time_1330,1
2024-07-29,03_resonance,long,22244.25,-192.91999999999825,time_1330,20
2024-07-30,03_resonance,short,21837.26,-244.0,stop,14
2024-07-31,03_resonance,long,22255.7,-61.13999999999942,time_1330,36
2024-08-01,03_resonance,long,22642.1,-4.0,time_eod,1
2024-08-02,03_resonance,short,21661.34,36.45999999999913,time_1330,6
2024-08-05,03_resonance,short,19822.26,10.37999999999738,time_1330,7
2024-08-06,03_resonance,short,19809.49,-244.0,stop,1
2024-08-08,03_resonance,long,20990.63,-244.0,stop,32
2024-08-13,03_resonance,short,21741.39,-33.0,time_1330,39
2024-08-15,03_resonance,short,22000.62,158.5199999999968,time_1330,50
2024-08-19,03_resonance,long,22382.27,-10.220000000001164,time_1330,51
2024-08-20,03_resonance,short,22465.67,156.05999999999767,time_1330,41
2024-08-21,03_resonance,short,22244.54,54.06000000000495,time_1330,29
2024-08-22,03_resonance,short,22194.14,115.76000000000204,time_1330,45
2024-08-28,03_resonance,long,22189.49,349.75999999999476,time_1330,32
2024-08-29,03_resonance,short,22146.5,-244.0,stop,14
2024-08-30,03_resonance,long,22290.17,-41.11999999999534,time_1330,46
2024-09-02,03_resonance,short,22249.83,86.5,time_1330,24
2024-09-03,03_resonance,short,22243.03,247.72000000000116,time_1330,37
2024-09-04,03_resonance,short,21104.92,-26.520000000004075,time_1330,4
2024-09-06,03_resonance,long,21233.35,373.4400000000023,time_1330,51
2024-09-10,03_resonance,long,21209.43,-244.0,stop,17
2024-09-11,03_resonance,long,21071.38,42.07999999999447,time_1330,10
2024-09-13,03_resonance,long,21696.65,60.33999999999651,time_1330,24
2024-09-16,03_resonance,short,21762.62,-176.12000000000262,time_1330,43
2024-09-18,03_resonance,short,21810.52,343.6399999999994,time_1330,30
2024-09-19,03_resonance,long,21954.54,67.36000000000058,time_1330,18
2024-09-20,03_resonance,long,22222.56,-158.40000000000146,time_1330,11
2024-09-23,03_resonance,long,22231.8,-1.7799999999988358,time_1330,51
2024-09-24,03_resonance,short,22220.49,-244.0,stop,43
2024-09-25,03_resonance,long,22784.44,-130.3199999999997,time_1330,3
2024-09-27,03_resonance,short,23010.34,317.0,time_1330,41
2024-09-30,03_resonance,short,22452.24,113.60000000000582,time_1330,9
2024-10-01,03_resonance,short,22340.54,-120.5199999999968,time_1330,38
2024-10-04,03_resonance,long,22325.6,-244.0,stop,8
2024-10-07,03_resonance,long,22654.18,30.159999999996217,time_1330,11
2024-10-09,03_resonance,long,22820.05,-244.0,stop,17
2024-10-11,03_resonance,long,22816.7,173.5,time_1330,52
2024-10-14,03_resonance,short,22920.26,8.479999999995925,time_1330,30
2024-10-15,03_resonance,long,23328.57,-0.47999999999592546,time_1330,1
2024-10-16,03_resonance,short,23130.6,238.5,time_1330,14
2024-10-17,03_resonance,short,22969.03,-244.0,stop,11
2024-10-18,03_resonance,long,23485.26,0.020000000004074536,time_1330,1
2024-10-21,03_resonance,long,23648.61,-244.0,stop,22
2024-10-22,03_resonance,short,23423.03,-111.58000000000175,time_1330,9
2024-10-23,03_resonance,short,23381.99,69.02000000000407,time_1330,51
2024-10-24,03_resonance,short,23290.87,144.55999999999767,time_1330,41
2024-10-25,03_resonance,long,23352.85,-18.779999999998836,time_1330,34
2024-10-28,03_resonance,long,23347.29,-244.0,stop,7
2024-10-30,03_resonance,long,22874.32,-135.76000000000204,time_1330,2
2024-11-04,03_resonance,long,22935.88,131.93999999999505,time_1330,24
2024-11-05,03_resonance,long,23024.6,-52.61999999999534,time_1330,47
2024-11-06,03_resonance,long,23188.81,54.45999999999913,time_1330,36
2024-11-07,03_resonance,long,23429.84,-244.0,stop,3
2024-11-12,03_resonance,short,23085.92,83.93999999999505,time_1330,34
2024-11-13,03_resonance,short,22879.94,-244.0,stop,23
2024-11-14,03_resonance,short,22751.46,38.75999999999476,time_1330,40
2024-11-15,03_resonance,long,22811.33,-5.980000000003201,time_1330,26
2024-11-18,03_resonance,short,22535.76,-244.0,stop,8
2024-11-20,03_resonance,long,22911.51,-244.0,stop,32
2024-11-21,03_resonance,short,22603.47,-95.95999999999913,time_1330,12
