date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-01-15,01_gap,long,17583.78,-77.91999999999825,time_1330,8,112.08571428571304
2024-01-16,01_gap,short,17387.2,76.66000000000349,time_1330,8,-103.87285714285827
2024-01-18,01_gap,long,17242.9,-34.220000000001164,time_1330,8,80.16857142857043
2024-01-19,01_gap,long,17515.44,328.1600000000035,time_1330,8,353.24999999999636
2024-01-22,01_gap,long,17864.97,-103.74000000000524,time_1330,8,138.2142857142826
2024-01-25,01_gap,long,17965.79,69.65999999999622,time_1330,8,114.3571428571413
2024-01-31,01_gap,short,17938.01,92.89999999999418,time_1330,8,-70.8471428571429
2024-02-02,01_gap,long,18004.8,106.26000000000204,time_1330,8,78.36571428571187
2024-02-15,01_gap,long,18609.28,66.58000000000175,time_1330,8,615.9200000000019
2024-02-21,01_gap,short,18657.81,-41.0,time_1330,8,-66.05857142857349
2024-02-22,01_gap,long,18829.69,42.18000000000029,time_1330,8,195.8857142857123
2024-02-23,01_gap,long,18953.63,-132.88000000000466,time_1330,8,137.0414285714287
2024-03-01,01_gap,long,18975.35,-82.83999999999651,time_1330,8,61.47999999999956
2024-03-04,01_gap,long,19200.12,206.38000000000466,time_1330,8,266.49285714285725
2024-03-05,01_gap,long,19376.39,17.05999999999767,time_1330,8,100.70999999999913
2024-03-06,01_gap,short,19366.8,-244.0,stop,4,-128.19714285714144
2024-03-07,01_gap,long,19735.88,-88.72000000000116,time_1330,8,229.28999999999724
2024-03-08,01_gap,long,19982.6,-244.0,stop,2,368.1342857142881
2024-03-11,01_gap,short,19781.53,106.89999999999418,time_1330,8,-107.46142857142695
2024-03-13,01_gap,long,19978.43,-103.84000000000378,time_1330,8,167.45285714285637
2024-03-15,01_gap,short,19854.21,339.41999999999825,time_1330,8,-124.86714285713606
2024-03-18,01_gap,long,19747.87,259.9599999999991,time_1330,8,87.42285714286118
2024-03-19,01_gap,short,19789.44,-244.0,stop,3,-110.6385714285716
2024-03-21,01_gap,long,20080.33,233.5199999999968,time_1330,8,284.3385714285687
2024-03-26,01_gap,long,20342.71,-244.0,stop,2,102.83142857142593
2024-04-02,01_gap,long,20398.92,131.3000000000029,time_1330,8,173.0871428571445
2024-04-03,01_gap,short,20344.55,9.900000000001455,time_1330,8,-139.77142857142826
2024-04-08,01_gap,long,20413.98,3.4400000000023283,time_1330,8,83.80428571429002
2024-04-09,01_gap,long,20685.52,217.36000000000058,time_1330,8,169.29714285714363
2024-04-15,01_gap,short,20581.14,258.73999999999796,time_1330,8,-163.40857142857203
2024-04-16,01_gap,short,20080.21,352.5,time_1330,8,-164.66857142857407
2024-04-17,01_gap,long,20095.54,231.58000000000175,time_1330,8,178.0
2024-04-18,01_gap,short,20150.43,-244.0,stop,1,-126.40571428571639
2024-04-19,01_gap,short,19766.98,475.72000000000116,time_1330,8,-401.29142857143233
2024-04-23,01_gap,long,19628.78,-63.0,time_1330,8,275.130000000001
2024-04-24,01_gap,long,20004.43,250.62000000000262,time_1330,8,316.45000000000437
2024-04-25,01_gap,short,19916.29,113.74000000000524,time_1330,8,-198.04571428571944
2024-04-26,01_gap,long,20154.61,-72.20000000000437,time_1330,8,264.14857142857363
2024-04-29,01_gap,long,20378.38,230.27999999999884,time_1330,8,208.7457142857129
2024-05-03,01_gap,long,20500.57,-244.0,stop,1,254.778571428571
2024-05-06,01_gap,long,20545.94,-49.25999999999476,time_1330,8,235.78857142857305
2024-05-07,01_gap,long,20571.87,159.3199999999997,time_1330,8,154.80285714285856
2024-05-13,01_gap,long,20875.55,-39.68000000000029,time_1330,8,214.40285714285346
2024-05-15,01_gap,long,21153.38,-16.340000000003783,time_1330,8,164.84714285714654
2024-05-16,01_gap,long,21479.12,-244.0,stop,1,273.99285714285725
2024-05-23,01_gap,long,21530.09,150.6800000000003,time_1330,8,103.15142857142564
