date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-01-15,01_gap,long,17624.2,-122.90000000000146,time_1330,264,112.08571428571304
2024-01-16,01_gap,short,17442.87,113.04000000000087,time_1330,264,-103.87285714285827
2024-01-18,01_gap,long,17242.06,-0.20000000000436557,time_1330,264,80.16857142857043
2024-01-19,01_gap,long,17570.48,171.55999999999767,time_1330,264,353.24999999999636
2024-01-22,01_gap,long,17823.38,-15.860000000000582,time_1330,264,138.2142857142826
2024-01-25,01_gap,long,17985.74,3.5,time_1330,264,114.3571428571413
2024-01-31,01_gap,short,17959.36,141.4800000000032,time_1330,264,-70.8471428571429
2024-02-02,01_gap,long,18055.1,-49.71999999999389,time_1330,264,78.36571428571187
2024-02-15,01_gap,long,18705.08,-244.0,stop,7,615.9200000000019
2024-02-21,01_gap,short,18692.71,34.69999999999709,time_1330,264,-66.05857142857349
2024-02-22,01_gap,long,18868.83,-28.200000000004366,time_1330,264,195.8857142857123
2024-02-23,01_gap,long,18991.38,-166.54000000000087,time_1330,264,137.0414285714287
2024-03-01,01_gap,long,19029.54,-183.72000000000116,time_1330,264,61.47999999999956
2024-03-04,01_gap,long,19199.84,171.23999999999796,time_1330,264,266.49285714285725
2024-03-05,01_gap,long,19413.14,56.020000000004075,time_1330,264,100.70999999999913
2024-03-06,01_gap,short,19252.15,-244.0,stop,29,-128.19714285714144
2024-03-07,01_gap,long,19735.96,-32.279999999998836,time_1330,264,229.28999999999724
2024-03-08,01_gap,long,20057.0,-244.0,stop,55,368.1342857142881
2024-03-11,01_gap,short,19668.78,-244.0,stop,15,-107.46142857142695
2024-03-13,01_gap,long,20095.37,-244.0,stop,30,167.45285714285637
2024-03-15,01_gap,short,19820.95,98.26000000000204,time_1330,264,-124.86714285713606
2024-03-18,01_gap,long,19773.84,195.1800000000003,time_1330,264,87.42285714286118
2024-03-19,01_gap,short,19776.28,-244.0,stop,100,-110.6385714285716
2024-03-21,01_gap,long,20072.81,243.8399999999965,time_1330,264,284.3385714285687
2024-03-26,01_gap,long,20303.52,-244.0,stop,112,102.83142857142593
2024-04-02,01_gap,long,20398.36,108.63999999999942,time_1330,264,173.0871428571445
2024-04-03,01_gap,short,20312.82,-151.23999999999796,time_1330,264,-139.77142857142826
2024-04-08,01_gap,long,20413.31,9.680000000000291,time_1330,264,83.80428571429002
2024-04-09,01_gap,long,20586.84,436.0400000000009,time_1330,264,169.29714285714363
2024-04-15,01_gap,short,20575.41,158.40000000000146,time_1330,264,-163.40857142857203
2024-04-16,01_gap,short,20279.18,640.260000000002,time_1330,264,-164.66857142857407
2024-04-17,01_gap,long,20083.31,286.0,time_1330,264,178.0
2024-04-18,01_gap,short,20089.65,-244.0,stop,61,-126.40571428571639
2024-04-19,01_gap,short,19907.53,1076.0,tp2,120,-401.29142857143233
2024-04-23,01_gap,long,19690.29,-244.0,stop,45,275.130000000001
2024-04-24,01_gap,long,19925.3,449.40000000000146,time_1330,264,316.45000000000437
2024-04-25,01_gap,short,19917.34,73.63999999999942,time_1330,264,-198.04571428571944
2024-04-26,01_gap,long,20123.04,42.95999999999913,time_1330,264,264.14857142857363
2024-04-29,01_gap,long,20327.07,273.1800000000003,time_1330,264,208.7457142857129
2024-05-03,01_gap,long,20469.55,-244.0,stop,108,254.778571428571
2024-05-06,01_gap,long,20578.45,-58.62000000000262,time_1330,264,235.78857142857305
2024-05-07,01_gap,long,20680.51,-244.0,stop,21,154.80285714285856
2024-05-13,01_gap,long,20914.1,-152.73999999999796,time_1330,264,214.40285714285346
2024-05-15,01_gap,long,21153.57,-21.040000000000873,time_1330,264,164.84714285714654
2024-05-16,01_gap,long,21425.92,-244.0,stop,163,273.99285714285725
2024-05-23,01_gap,long,21649.84,-244.0,stop,17,103.15142857142564
2024-05-24,01_gap,short,21393.44,-244.0,stop,13,-207.70714285714712
2024-05-27,01_gap,long,21768.5,65.80000000000291,time_1330,264,198.4314285714281
2024-05-30,01_gap,short,21417.78,-244.0,stop,40,-244.78571428571377
2024-05-31,01_gap,long,21471.32,-244.0,stop,135,98.70285714285637
2024-06-03,01_gap,long,21512.0,-244.0,stop,21,331.1814285714281
2024-06-06,01_gap,long,21924.86,-24.160000000003492,time_1330,264,444.00285714285565
2024-06-11,01_gap,long,21947.16,-217.73999999999796,time_1330,264,107.71999999999753
2024-06-12,01_gap,long,21890.34,388.3600000000006,time_1330,264,93.44571428571362
2024-06-13,01_gap,long,22338.25,-244.0,stop,97,278.59142857142797
2024-06-18,01_gap,long,22719.87,52.720000000001164,time_1330,264,233.0600000000013
2024-06-19,01_gap,long,22975.29,453.29999999999563,time_1330,264,210.32857142857392
2024-06-21,01_gap,short,23176.88,-244.0,stop,61,-245.4599999999955
2024-06-24,01_gap,short,23119.54,553.4800000000032,time_1330,264,-138.64428571428653
2024-06-25,01_gap,short,22713.0,-244.0,stop,251,-114.20000000000073
2024-06-26,01_gap,long,23024.59,-244.0,stop,154,129.77999999999884
2024-06-27,01_gap,short,22776.33,-244.0,stop,67,-214.82428571428318
2024-07-03,01_gap,long,23086.34,98.27999999999884,time_1330,264,204.85000000000218
2024-07-04,01_gap,long,23422.37,175.56000000000495,time_1330,264,250.69857142856927
2024-07-10,01_gap,short,23787.06,-244.0,stop,94,-111.11000000000422
2024-07-11,01_gap,long,24247.62,256.09999999999854,time_1330,264,260.3842857142845
2024-07-12,01_gap,short,23835.24,-244.0,stop,3,-548.3557142857135
2024-07-18,01_gap,short,23277.77,-244.0,stop,32,-488.0171428571448
2024-07-19,01_gap,short,23216.84,675.0599999999977,time_1330,264,-185.96571428571406
2024-07-23,01_gap,long,22627.05,326.08000000000175,time_1330,264,373.01714285714115
2024-07-26,01_gap,short,21922.04,-244.0,stop,6,-938.6314285714252
2024-07-29,01_gap,long,22461.91,-244.0,stop,8,324.2971428571436
2024-07-30,01_gap,short,21993.72,-244.0,stop,196,-158.65428571428492
2024-07-31,01_gap,short,22072.24,-244.0,stop,11,-163.55714285714566
2024-08-01,01_gap,long,22652.01,-244.0,stop,14,441.6857142857152
2024-08-02,01_gap,short,21968.2,-244.0,stop,42,-673.3585714285655
2024-08-05,01_gap,short,20568.97,1076.0,tp2,51,-1050.5557142857142
2024-08-06,01_gap,long,20600.19,-244.0,stop,11,774.0485714285714
2024-08-08,01_gap,short,20877.29,-244.0,stop,69,-414.67857142856883
2024-08-09,01_gap,long,21420.37,60.24000000000524,time_1330,264,554.5571428571457
2024-08-14,01_gap,long,22060.09,-86.18000000000029,time_1330,264,258.0
2024-08-16,01_gap,long,22287.21,70.40000000000146,time_1330,264,393.6142857142877
2024-08-29,01_gap,short,22053.36,-244.0,stop,113,-315.45857142857494
2024-09-02,01_gap,long,22411.69,-244.0,stop,53,141.971428571429
2024-09-04,01_gap,short,21119.54,-244.0,stop,27,-985.0785714285703
2024-09-05,01_gap,long,21350.92,-244.0,stop,224,258.6528571428571
2024-09-09,01_gap,short,20955.57,-244.0,stop,51,-492.2142857142826
2024-09-10,01_gap,long,21304.38,-244.0,stop,42,160.51142857142986
2024-09-12,01_gap,long,21549.18,156.72000000000116,time_1330,264,521.8328571428538
2024-09-13,01_gap,long,21778.1,-244.0,stop,101,125.27857142856737
2024-09-20,01_gap,long,22320.09,-244.0,stop,94,272.17857142857247
2024-09-25,01_gap,long,22674.85,88.86000000000058,time_1330,264,248.82000000000335
2024-09-26,01_gap,long,22913.94,-244.0,stop,253,166.28285714285812
2024-09-27,01_gap,long,23004.16,-244.0,stop,128,164.1314285714252
2024-09-30,01_gap,short,22622.21,453.5400000000009,time_1330,264,-215.78714285714523
2024-10-01,01_gap,long,22408.31,-23.020000000004075,time_1330,264,176.92428571428536
2024-10-07,01_gap,long,22535.65,267.2199999999939,time_1330,264,236.6428571428587
2024-10-09,01_gap,long,22883.76,-244.0,stop,64,265.0585714285735
2024-10-11,01_gap,long,22778.81,249.27999999999884,time_1330,264,112.93428571428376
2024-10-15,01_gap,long,23128.81,399.0400000000009,time_1330,264,141.44285714285797
2024-10-16,01_gap,short,22904.51,-244.0,stop,45,-373.0642857142848
2024-10-17,01_gap,long,23158.81,-244.0,stop,22,124.59428571428361
2024-10-18,01_gap,long,23643.52,-244.0,stop,23,587.8985714285736
2024-10-21,01_gap,long,23604.13,-244.0,stop,256,134.99142857142942
2024-10-22,01_gap,short,23416.89,-123.86000000000058,time_1330,264,-143.76142857142622
2024-10-23,01_gap,short,23379.49,64.02000000000407,time_1330,264,-151.11142857143204
2024-10-25,01_gap,long,23313.04,60.83999999999651,time_1330,264,111.86857142857116
2024-10-28,01_gap,long,23544.64,-244.0,stop,17,194.47999999999956
2024-10-29,01_gap,short,23042.17,360.1999999999971,time_1330,264,-155.9171428571426
2024-11-01,01_gap,short,22299.32,-244.0,stop,1,-543.6314285714288
2024-11-08,01_gap,long,23660.53,-244.0,stop,177,259.8057142857142
2024-11-12,01_gap,short,23233.4,378.90000000000146,time_1330,264,-308.9971428571407
2024-11-15,01_gap,long,22828.28,-244.0,stop,102,128.4728571428568
2024-11-19,01_gap,long,22670.64,342.26000000000204,time_1330,264,151.1457142857107
2024-11-22,01_gap,long,22922.93,73.97999999999593,time_1330,264,335.27999999999884
2024-11-25,01_gap,long,23082.43,-244.0,stop,240,182.48428571428667
2024-11-26,01_gap,short,22758.24,29.020000000004075,time_1330,264,-190.22857142857174
2024-11-29,01_gap,short,22100.22,-244.0,stop,25,-193.35428571428565
2024-12-02,01_gap,long,22599.73,395.1800000000003,time_1330,264,320.0528571428622
2024-12-03,01_gap,long,23069.54,-52.31999999999971,time_1330,264,334.69857142856927
2024-12-04,01_gap,long,23162.4,-244.0,stop,35,139.64428571428653
2024-12-11,01_gap,short,22929.7,-244.0,stop,48,-207.5628571428606
2024-12-12,01_gap,long,23129.04,-46.919999999998254,time_1330,264,209.8428571428558
2024-12-16,01_gap,long,23254.22,-244.0,stop,86,227.69142857143015
2024-12-19,01_gap,short,22802.09,-244.0,stop,247,-373.04428571428434
2024-12-20,01_gap,short,22779.05,157.09999999999854,time_1330,264,-139.5214285714319
2024-12-23,01_gap,long,22890.27,424.72000000000116,time_1330,264,390.3757142857103
2024-12-24,01_gap,long,23268.7,-244.0,stop,186,206.4628571428584
2024-12-25,01_gap,long,23243.68,66.27999999999884,time_1330,264,141.2642857142855
2024-12-31,01_gap,short,23058.53,-52.9800000000032,time_1330,264,-106.83714285714086
2025-01-03,01_gap,long,23092.07,-244.0,stop,34,244.04714285714
2025-01-06,01_gap,long,23265.11,559.7200000000012,time_1330,264,358.25285714285565
2025-01-07,01_gap,long,23906.85,-244.0,stop,16,354.7042857142842
2025-01-08,01_gap,short,23520.04,-244.0,stop,16,-132.85999999999694
2025-01-14,01_gap,long,22637.1,160.20000000000437,time_1330,264,125.19571428571726
2025-01-16,01_gap,long,22959.15,127.75999999999476,time_1330,264,454.0185714285726
2025-01-17,01_gap,long,23152.79,-244.0,stop,7,147.1785714285761
2025-01-22,01_gap,long,23592.53,-52.19999999999709,time_1330,264,267.7599999999984
2025-02-03,01_gap,short,22510.09,-244.0,stop,7,-991.2971428571473
2025-02-04,01_gap,long,22883.87,-244.0,stop,48,195.94571428571362
2025-02-05,01_gap,long,23025.99,250.1800000000003,time_1330,264,251.55571428571784
2025-02-06,01_gap,long,23283.2,-126.20000000000437,time_1330,264,140.93428571428376
2025-02-11,01_gap,long,23394.14,-12.819999999999709,time_1330,264,152.17571428571682
2025-02-14,01_gap,short,23200.48,-4.779999999998836,time_1330,264,-202.90428571428492
2025-02-17,01_gap,long,23311.18,375.72000000000116,time_1330,264,143.57285714285536
2025-02-24,01_gap,short,23461.43,-244.0,stop,170,-240.2957142857158
2025-02-25,01_gap,short,23304.36,-4.360000000000582,time_1330,264,-241.32142857143117
2025-03-03,01_gap,short,22665.58,-19.119999999995343,time_1330,264,-410.4114285714277
2025-03-04,01_gap,short,22403.39,-244.0,stop,69,-355.7314285714274
2025-03-05,01_gap,long,22923.85,-244.0,stop,5,283.93714285714304
2025-03-11,01_gap,short,21946.2,-244.0,stop,80,-514.0914285714243
2025-03-12,01_gap,long,22204.9,58.0399999999936,time_1330,264,131.00857142857058
2025-03-13,01_gap,long,22497.53,-244.0,stop,31,238.221428571429
2025-03-17,01_gap,long,22217.3,-192.79999999999563,time_1330,264,243.19285714285434
2025-03-18,01_gap,long,22267.81,-61.720000000001164,time_1330,264,156.46285714285477
2025-03-20,01_gap,long,22241.25,226.40000000000146,time_1330,264,280.35142857143
2025-03-24,01_gap,long,22360.88,-244.0,stop,53,158.23571428571813
2025-03-25,01_gap,long,22372.39,-244.0,stop,106,260.97428571428463
2025-03-27,01_gap,short,21985.0,83.40000000000146,time_1330,264,-268.50571428571493
2025-03-28,01_gap,short,21781.01,251.11999999999534,time_1330,264,-176.27142857142826
2025-03-31,01_gap,short,20985.45,323.3000000000029,time_1330,264,-611.9285714285688
2025-04-01,01_gap,long,21010.89,499.09999999999854,time_1330,264,302.9042857142849
2025-04-07,01_gap,short,19217.65,-24.75999999999476,time_1330,264,-2082.8428571428594
2025-04-08,01_gap,short,18443.57,-244.0,stop,22,-821.9342857142838
2025-04-09,01_gap,short,18207.14,-244.0,stop,12,-267.58000000000175
2025-04-10,01_gap,long,18972.16,68.73999999999796,time_1330,264,1585.9457142857173
2025-04-11,01_gap,short,18540.66,-244.0,stop,9,-480.89571428571435
2025-04-14,01_gap,long,19873.54,-244.0,stop,23,327.6714285714261
2025-04-23,01_gap,long,19333.3,457.72000000000116,time_1330,264,534.6914285714302
2025-04-25,01_gap,long,19984.51,-200.13999999999942,time_1330,264,507.3442857142836
2025-05-02,01_gap,long,20599.78,271.40000000000146,time_1330,264,371.78571428571377
2025-05-09,01_gap,long,20729.24,348.9599999999991,time_1330,264,192.15999999999622
2025-05-12,01_gap,long,21030.93,168.63999999999942,time_1330,264,126.46428571428623
2025-05-13,01_gap,long,21599.21,-244.0,stop,14,481.46428571428623
2025-05-14,01_gap,long,21629.58,270.79999999999563,time_1330,264,307.4442857142858
2025-05-20,01_gap,long,21708.63,-244.0,stop,132,189.87428571428245
