date,formula,direction,entry,pnl_pts,reason,held_bars,key
2024-01-04,02_cross,long,17557.51,-55.37999999999738,time_1330,45,17550.0
2024-01-05,02_cross,short,17525.18,30.9800000000032,time_1330,40,17535.0
2024-01-08,02_cross,long,17623.08,-82.76000000000204,time_1330,52,17540.0
2024-01-09,02_cross,long,17652.1,-244.0,stop,13,17595.0
2024-01-11,02_cross,long,17511.88,98.61999999999534,time_1330,52,17485.0
2024-01-12,02_cross,short,17494.82,-67.58000000000175,time_1330,52,17495.0
2024-01-15,02_cross,long,17621.36,-117.22000000000116,time_1330,52,17520.0
2024-01-18,02_cross,long,17195.0,93.91999999999825,time_1330,44,17195.0
2024-01-26,02_cross,long,17990.0,-18.5,time_1330,52,17990.0
2024-01-29,02_cross,long,18021.0,161.3199999999997,time_1330,52,18000.0
2024-01-30,02_cross,long,18094.19,-34.599999999998545,time_1330,52,18085.0
2024-02-01,02_cross,long,17909.94,32.13999999999942,time_1330,52,17895.0
2024-02-05,02_cross,short,18004.88,-210.86000000000058,time_1330,50,18025.0
2024-02-16,02_cross,short,18617.25,-2.540000000000873,time_1330,38,18625.0
2024-02-19,02_cross,short,18608.8,-95.88000000000466,time_1330,52,18615.0
2024-02-20,02_cross,long,18649.97,117.47999999999593,time_1330,52,18625.0
2024-02-21,02_cross,short,18710.0,69.27999999999884,time_1330,40,18710.0
2024-02-26,02_cross,short,18945.0,-58.66000000000349,time_1330,46,18945.0
2024-02-27,02_cross,short,18911.82,88.54000000000087,time_1330,41,18925.0
2024-02-29,02_cross,short,18856.23,-244.0,stop,44,18860.0
2024-03-05,02_cross,long,19401.16,79.9800000000032,time_1330,52,19310.0
2024-03-06,02_cross,long,19416.32,186.52000000000407,time_1330,43,19405.0
2024-03-08,02_cross,long,19997.59,-244.0,stop,20,19720.0
2024-03-11,02_cross,short,19717.15,27.10000000000582,time_1330,52,19765.0
2024-03-12,02_cross,long,19705.0,403.41999999999825,time_1330,51,19705.0
2024-03-13,02_cross,long,19872.18,95.13999999999942,time_1330,10,19870.0
2024-03-14,02_cross,short,19930.0,125.81999999999971,time_1330,52,19930.0
2024-03-15,02_cross,short,19872.3,200.95999999999913,time_1330,50,19880.0
2024-03-18,02_cross,short,19757.59,-244.0,stop,50,19790.0
2024-03-19,02_cross,long,19815.02,162.63999999999942,time_1330,50,19800.0
2024-03-20,02_cross,long,19956.93,-244.0,stop,11,19885.0
2024-03-22,02_cross,long,20150.0,92.22000000000116,time_1330,41,20150.0
2024-03-26,02_cross,short,20220.8,101.83999999999651,time_1330,43,20250.0
2024-03-27,02_cross,short,20123.88,-244.0,stop,45,20145.0
2024-03-28,02_cross,long,20175.0,-25.5199999999968,time_1330,51,20175.0
2024-03-29,02_cross,long,20225.59,139.87999999999738,time_1330,52,20150.0
2024-04-01,02_cross,long,20241.75,-52.33999999999651,time_1330,22,20240.0
2024-04-08,02_cross,long,20391.24,53.81999999999971,time_1330,51,20380.0
2024-04-10,02_cross,long,20840.36,-89.30000000000291,time_1330,52,20805.0
2024-04-18,02_cross,short,20068.31,-244.0,stop,11,20205.0
2024-04-22,02_cross,long,19628.46,-244.0,stop,17,19605.0
2024-04-23,02_cross,long,19651.39,-244.0,stop,9,19430.0
2024-04-24,02_cross,long,19917.78,464.4400000000023,time_1330,52,19620.0
2024-04-26,02_cross,long,20161.28,-33.5199999999968,time_1330,52,19885.0
2024-04-30,02_cross,long,20465.0,88.04000000000087,time_1330,51,20465.0
2024-05-07,02_cross,long,20646.44,-244.0,stop,14,20550.0
2024-05-08,02_cross,long,20555.91,186.37999999999738,time_1330,48,20555.0
2024-05-09,02_cross,long,20670.5,-142.22000000000116,time_1330,36,20660.0
2024-05-10,02_cross,short,20670.0,-173.05999999999767,time_1330,51,20670.0
2024-05-14,02_cross,long,20880.19,209.6600000000035,time_1330,52,20860.0
2024-05-16,02_cross,long,21276.54,16.580000000001746,time_1330,2,21250.0
2024-05-17,02_cross,short,21260.07,-76.41999999999825,time_1330,50,21290.0
2024-05-20,02_cross,long,21264.8,-244.0,stop,29,21250.0
2024-05-21,02_cross,long,21280.53,-244.0,stop,10,21265.0
2024-05-23,02_cross,long,21500.0,196.8399999999965,time_1330,49,21500.0
2024-05-27,02_cross,long,21770.26,62.28000000000611,time_1330,52,21570.0
2024-05-29,02_cross,short,21880.0,335.23999999999796,time_1330,52,21880.0
2024-05-31,02_cross,short,21451.25,319.1800000000003,time_1330,46,21475.0
2024-06-03,02_cross,long,21428.65,282.6999999999971,time_1330,47,21375.0
2024-06-05,02_cross,long,21391.8,-244.0,stop,3,21375.0
2024-06-07,02_cross,short,21910.0,79.90000000000146,time_1330,49,21910.0
2024-06-11,02_cross,long,21918.62,-160.65999999999622,time_1330,52,21860.0
2024-06-14,02_cross,short,22284.18,-244.0,stop,15,22290.0
2024-06-18,02_cross,long,22782.29,-244.0,stop,8,22515.0
2024-06-21,02_cross,short,23186.49,-244.0,stop,11,23245.0
2024-06-25,02_cross,short,22840.0,3.4199999999982538,time_1330,2,22840.0
2024-07-01,02_cross,short,23056.16,-244.0,stop,13,23080.0
2024-07-03,02_cross,long,23067.04,136.87999999999738,time_1330,52,22895.0
2024-07-08,02_cross,long,23555.29,691.1399999999994,time_1330,51,23550.0
2024-07-09,02_cross,long,23915.0,-244.0,stop,8,23915.0
2024-07-10,02_cross,long,23893.17,208.7800000000061,time_1330,37,23865.0
2024-07-15,02_cross,short,23870.0,1.0,time_1330,45,23870.0
2024-07-17,02_cross,short,23905.0,395.8399999999965,time_1330,48,23905.0
2024-07-30,02_cross,short,22245.0,53.580000000001746,time_1330,3,22245.0
2024-08-06,02_cross,short,20110.0,-244.0,stop,13,20110.0
2024-08-09,02_cross,long,21440.66,19.660000000003492,time_1330,52,20890.0
2024-08-12,02_cross,long,21716.15,11.919999999998254,time_1330,52,21480.0
2024-08-13,02_cross,short,21790.0,64.22000000000116,time_1330,52,21790.0
2024-08-15,02_cross,long,22020.0,-244.0,stop,5,22020.0
2024-08-20,02_cross,long,22520.33,-244.0,stop,35,22410.0
2024-08-22,02_cross,long,22308.95,-244.0,stop,7,22260.0
2024-08-23,02_cross,short,22047.69,-211.70000000000437,time_1330,52,22140.0
2024-08-29,02_cross,long,22172.03,120.94000000000233,time_1330,30,22170.0
2024-09-02,02_cross,long,22406.56,-244.0,stop,9,22270.0
2024-09-03,02_cross,short,22265.0,291.6600000000035,time_1330,47,22265.0
2024-09-05,02_cross,long,21222.71,-62.65999999999622,time_1330,7,21215.0
