strategy,trades,win_rate,total_pnl_pts_2lots,avg_pnl_pts_2lots,total_pnl_twd,max_dd_pts,profit_factor,tp2_rate,tp1_only_rate,stop_rate
01_gap_5min,176,0.4318181818181818,-961.1599999999816,-5.46113636363626,-192231.99999999636,-4167.2399999999725,0.9481318709783269,0.0,0.0,0.375
01_gap_30min,176,0.4545454545454545,4482.4900000000125,25.468693181818253,896498.0000000026,-2523.499999999978,1.2639286328319126,0.0056818181818181,0.0,0.3068181818181818
01_gap_1min,176,0.3863636363636363,-3838.379999999997,-21.808977272727255,-767675.9999999995,-6729.019999999997,0.8201417543767578,0.0113636363636363,0.0,0.4431818181818182
02_cross_5min,164,0.4817073170731707,-1804.119999999959,-11.000731707316824,-360823.9999999918,-3002.019999999975,0.8775910101869557,0.0,0.0,0.3109756097560975
03_resonance_30p5,271,0.3985239852398524,-4731.440000000046,-17.459188191882088,-946288.0000000092,-6669.820000000029,0.7496415089747082,0.0,0.0,0.1771217712177121
01_gap_TX_daily_night,333,0.37537537537537535,-4134.0,-12.414414414414415,-826800.0,-9322.0,0.9025183927560838,0.009009009009009009,0.015015015015015015,0.46546546546546547
