formula,setup,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
03,5dir_1entry,60,200,331,675.6499999999978,2.0412386706948573,0.3595166163141994,1.0562769661330356,-2253.8499999999913,0.08761329305135952,0.5619335347432024,-440.0196067733907
03,5dir_1entry,80,200,331,501.2599999999875,1.5143806646525302,0.4078549848942598,1.0381360316494208,-2540.9299999999967,0.09063444108761329,0.44108761329305135,-761.5777936701267
03,5dir_1entry,60,250,331,436.7299999999959,1.3194259818730996,0.3564954682779456,1.0361896948905347,-2420.139999999992,0.030211480362537766,0.5649546827794562,-766.1020610218932
03,5dir_1entry,60,150,331,322.02999999999156,0.9729003021147782,0.3685800604229607,1.027024668202397,-2418.0799999999945,0.1661631419939577,0.5589123867069486,-881.6050663595263
03,5dir_1entry,80,150,331,243.87999999998283,0.7367975830815191,0.4169184290030212,1.018710560940897,-2493.1899999999987,0.18126888217522658,0.4380664652567976,-998.9728878118372
03,1min_only,50,250,331,311.81000000000495,0.942024169184305,0.28700906344410876,1.0262793273112514,-2700.349999999984,0.06042296072507553,0.676737160120846,-1033.1091345377367
03,5dir_1entry,80,250,331,221.94999999998618,0.6705438066464839,0.40483383685800606,1.0167813397852703,-2685.41,0.030211480362537766,0.44410876132930516,-1117.3987320429596
03,5dir_1entry,80,120,331,-191.65000000001965,-0.5790030211480957,0.4350453172205438,0.9848743501653033,-2631.2400000000016,0.2537764350453172,0.4259818731117825,-1510.2951299669598
03,5dir_1entry,50,200,331,-37.939999999991414,-0.11462235649544233,0.311178247734139,0.9966100604542205,-3150.509999999984,0.08157099697885196,0.6314199395770392,-1613.8729879091393
03,5dir_1entry,60,120,331,-300.4800000000141,-0.9077945619335774,0.38368580060422963,0.9741102777406794,-2666.4000000000015,0.229607250755287,0.5438066465256798,-1638.857944451879
03,5dir_1entry,50,250,331,-120.2899999999936,-0.3634138972809474,0.3081570996978852,0.989301792787938,-3098.029999999988,0.030211480362537766,0.6344410876132931,-1671.4446414423999
03,5dir_1entry,50,150,331,-369.1200000000026,-1.1151661631420018,0.3202416918429003,0.966782724352946,-3052.829999999991,0.14803625377643503,0.6283987915407855,-1902.1784551294088
03,5dir_1entry,60,100,331,-557.2200000000084,-1.6834441087613548,0.40483383685800606,0.9503329144048981,-2783.619999999999,0.283987915407855,0.525679758308157,-1958.9634171190282
03,5dir_1entry,80,100,331,-608.1900000000132,-1.8374320241692244,0.4561933534743202,0.9504863521795471,-2778.709999999999,0.3081570996978852,0.4169184290030212,-2007.4477295641034
03,1min_only,60,250,331,-412.0799999999981,-1.2449546827794504,0.31722054380664655,0.9689906147094414,-3223.449999999986,0.06042296072507553,0.6283987915407855,-2030.0068770581029
03,1min_only,50,200,331,-619.6999999999971,-1.8722054380664566,0.28700906344410876,0.9477717227324907,-3252.649999999987,0.09969788519637462,0.676737160120846,-2256.4706554534923
03,1min_only,50,120,331,-1040.7099999999919,-3.144138972809643,0.32326283987915405,0.9082513889550093,-2614.7199999999903,0.22658610271903323,0.6465256797583081,-2366.419722208985
03,5min_only,80,200,331,-1397.780000000006,-4.222900302114822,0.4078549848942598,0.8908876027870969,-2032.640000000014,0.05740181268882175,0.41389728096676737,-2435.9224794425936
03,5dir_1entry,50,120,331,-939.1000000000095,-2.83716012084595,0.33534743202416917,0.9134652686207235,-3266.75,0.20241691842900303,0.6132930513595166,-2589.781946275865
03,5min_only,80,150,331,-1636.390000000003,-4.943776435045327,0.41389728096676737,0.8711722031309658,-2011.3000000000102,0.1148036253776435,0.4108761329305136,-2667.805559373815
