formula,tf,gap_mult,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
01,30min,0.2,30,400,230,6076.5,26.419565217391305,0.3173913043478261,2.2318111972884545,-407.0999999999949,0.017391304347826087,0.6608695652173913,6119.312239457693
01,30min,0.2,30,480,230,6009.809999999998,26.129608695652163,0.3173913043478261,2.2182919857773595,-407.0999999999949,0.004347826086956522,0.6608695652173913,6049.918397155472
01,30min,0.3,30,400,192,5629.180000000004,29.318645833333353,0.3125,2.3620148173956816,-416.0,0.020833333333333332,0.6614583333333334,5693.58296347914
01,30min,0.3,30,480,192,5562.490000000002,28.97130208333334,0.3125,2.3458787606037297,-416.0,0.005208333333333333,0.6614583333333334,5623.665752120747
01,30min,0.2,30,300,230,5588.090000000004,24.296043478260884,0.3173913043478261,2.132802079067826,-407.0999999999949,0.030434782608695653,0.6608695652173913,5611.100415813571
01,30min,0.2,40,400,230,5426.619999999995,23.59399999999998,0.34347826086956523,1.8761501587901268,-571.0900000000001,0.017391304347826087,0.6304347826086957,5316.305031758021
01,30min,0.2,40,480,230,5359.929999999993,23.30404347826084,0.34347826086956523,1.8653827835013252,-547.630000000001,0.004347826086956522,0.6304347826086957,5259.191556700258
01,30min,0.2,30,250,230,5229.150000000009,22.735434782608735,0.3173913043478261,2.0600387595327794,-407.0999999999949,0.05652173913043478,0.6608695652173913,5237.6077519065675
01,30min,0.3,30,300,192,5057.780000000006,26.3426041666667,0.3125,2.223761063445748,-416.0,0.03125,0.6614583333333334,5094.532212689156
01,30min,0.2,30,200,230,5020.240000000009,21.827130434782646,0.3217391304347826,2.0183972167844955,-407.0999999999949,0.12608695652173912,0.6608695652173913,5020.369443356911
01,30min,0.2,30,150,230,4807.020000000008,20.900086956521772,0.34347826086956523,1.9998211269832047,-312.5400000000009,0.23478260869565218,0.6478260869565218,4850.7142253966485
01,30min,0.3,40,400,192,4931.230000000003,25.68348958333335,0.3333333333333333,1.9432868311363873,-554.359999999997,0.020833333333333332,0.6354166666666666,4842.707366227282
01,30min,0.35,30,400,176,4813.890000000003,27.351647727272745,0.3125,2.2731857878116264,-458.8399999999965,0.017045454545454544,0.6590909090909091,4839.10715756233
01,30min,0.35,30,480,176,4757.210000000003,27.02960227272729,0.3125,2.258194965326451,-458.8399999999965,0.005681818181818182,0.6590909090909091,4779.428993065295
01,30min,0.3,40,480,192,4864.540000000001,25.336145833333337,0.3333333333333333,1.9305298113323046,-546.0,0.005208333333333333,0.6354166666666666,4777.6459622664615
01,30min,0.3,30,250,192,4748.840000000011,24.733541666666724,0.3125,2.149011125144572,-416.0,0.0625,0.6614583333333334,4770.642225028925
01,30min,0.2,40,300,230,4938.209999999999,21.470478260869562,0.34347826086956523,1.7972943518505065,-671.0900000000001,0.030434782608695653,0.6304347826086957,4762.1238703701
