formula,tf,retrace,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
02,5min,20,80,200,155,1299.770000000004,8.385612903225832,0.4774193548387097,1.2443966846424042,-491.5500000000029,0.07741935483870968,0.3741935483870968,1102.8743369284834
02,5min,20,80,150,155,1273.280000000006,8.214709677419394,0.4838709677419355,1.2431649949964492,-497.380000000001,0.1870967741935484,0.36774193548387096,1073.2229989992954
02,5min,20,80,250,155,1072.5100000000057,6.919419354838746,0.47096774193548385,1.1986026650469987,-491.5500000000029,0.03225806451612903,0.38064516129032255,866.455533009404
02,5min,50,40,250,190,1108.699999999997,5.835263157894722,0.2894736842105263,1.2044832495997753,-853.9399999999987,0.04736842105263158,0.6684210526315789,722.6266499199528
02,5min,20,60,150,155,788.8800000000083,5.089548387096828,0.4129032258064516,1.1576344442690483,-567.4799999999959,0.16774193548387098,0.49032258064516127,536.66688885382
02,5min,80,40,250,208,1048.7899999999972,5.042259615384602,0.28846153846153844,1.176900202573578,-1119.449999999997,0.04326923076923077,0.6682692307692307,524.4450405147143
02,5min,50,40,200,190,897.8699999999953,4.725631578947344,0.29473684210526313,1.1668915754020468,-890.1899999999987,0.08421052631578947,0.6631578947368421,486.1533150804054
02,5min,80,40,200,208,938.1299999999937,4.510240384615354,0.2932692307692308,1.1593640590414669,-1105.699999999997,0.08173076923076923,0.6634615384615384,417.15281180828856
02,5min,50,80,200,190,913.0800000000054,4.805684210526344,0.42105263157894735,1.1235419471373396,-1059.8599999999933,0.10526315789473684,0.43157894736842106,407.85838942747665
02,5min,20,40,150,155,597.9700000000012,3.857870967741943,0.3225806451612903,1.1439161105080882,-665.2699999999968,0.14193548387096774,0.6193548387096774,294.1182221016204
02,5min,20,80,120,155,541.1700000000092,3.4914193548387686,0.4838709677419355,1.1033500882305778,-537.7999999999993,0.21935483870967742,0.36774193548387096,292.9400176461251
02,5min,20,60,200,155,575.5400000000045,3.71316129032261,0.4,1.1122240659531373,-670.4300000000003,0.06451612903225806,0.5032258064516129,262.7698131906318
02,5min,20,60,250,155,485.7200000000048,3.1336774193548695,0.3935483870967742,1.0935788335975998,-620.4300000000003,0.03225806451612903,0.5096774193548387,194.22076671952462
02,5min,20,40,200,155,498.1000000000022,3.2135483870967883,0.3032258064516129,1.116351591571109,-683.6499999999978,0.06451612903225806,0.6387096774193548,179.54531831422509
